chemin, class, classes_LOC, classe_CLOL, classe_DC, WMC, classe_BC
src\test\java\org\jfree\chart\axis\DateAxisTest.java, DateAxisTest, 1045, 199, 0.19043062200956937, 27.0, 0.007052986000354421
src\test\java\org\jfree\chart\axis\DateTickMarkPositionTest.java, DateTickMarkPositionTest, 78, 42, 0.5384615384615384, 4.0, 0.1346153846153846
src\test\java\org\jfree\chart\axis\DateTickTest.java, DateTickTest, 122, 44, 0.36065573770491804, 5.0, 0.07213114754098361
src\test\java\org\jfree\chart\axis\DateTickUnitTest.java, DateTickUnitTest, 75, 42, 0.56, 4.0, 0.14
src\test\java\org\jfree\chart\axis\ExtendedCategoryAxisTest.java, ExtendedCategoryAxisTest, 137, 53, 0.38686131386861317, 6.0, 0.06447688564476886
src\test\java\org\jfree\chart\axis\LogarithmicAxisTest.java, LogarithmicAxisTest, 205, 81, 0.3951219512195122, 9.0, 0.04390243902439025
src\test\java\org\jfree\chart\axis\LogAxisTest.java, LogAxisTest, 253, 74, 0.2924901185770751, 13.0, 0.022499239890544236
src\test\java\org\jfree\chart\axis\MarkerAxisBandTest.java, MarkerAxisBandTest, 98, 42, 0.42857142857142855, 4.0, 0.10714285714285714
src\test\java\org\jfree\chart\axis\ModuloAxisTest.java, ModuloAxisTest, 90, 45, 0.5, 5.0, 0.1
src\test\java\org\jfree\chart\axis\MonthDateFormatTest.java, MonthDateFormatTest, 129, 50, 0.3875968992248062, 5.0, 0.07751937984496124
src\test\java\org\jfree\chart\axis\NumberAxisTest.java, NumberAxisTest, 357, 132, 0.3697478991596639, 13.0, 0.028442146089204916
src\test\java\org\jfree\chart\axis\NumberTickUnitTest.java, NumberTickUnitTest, 91, 45, 0.4945054945054945, 5.0, 0.09890109890109891
src\test\java\org\jfree\chart\axis\PeriodAxisLabelInfoTest.java, PeriodAxisLabelInfoTest, 169, 48, 0.28402366863905326, 6.0, 0.047337278106508875
src\test\java\org\jfree\chart\axis\PeriodAxisTest.java, PeriodAxisTest, 254, 72, 0.28346456692913385, 9.0, 0.031496062992125984
src\test\java\org\jfree\chart\axis\QuarterDateFormatTest.java, QuarterDateFormatTest, 112, 45, 0.4017857142857143, 5.0, 0.08035714285714286
src\test\java\org\jfree\chart\axis\StandardTickUnitSourceTest.java, StandardTickUnitSourceTest, 63, 39, 0.6190476190476191, 3.0, 0.20634920634920637
src\test\java\org\jfree\chart\axis\SubCategoryAxisTest.java, SubCategoryAxisTest, 136, 53, 0.3897058823529412, 6.0, 0.06495098039215687
src\test\java\org\jfree\chart\axis\SymbolAxisTest.java, SymbolAxisTest, 97, 42, 0.4329896907216495, 4.0, 0.10824742268041238
src\test\java\org\jfree\chart\axis\TickUnitsTest.java, TickUnitsTest, 80, 42, 0.525, 4.0, 0.13125
src\test\java\org\jfree\chart\axis\ValueAxisTest.java, ValueAxisTest, 213, 69, 0.323943661971831, 5.0, 0.0647887323943662
src\test\java\org\jfree\chart\block\AbstractBlockTest.java, AbstractBlockTest, 125, 42, 0.336, 4.0, 0.084
src\test\java\org\jfree\chart\block\BlockBorderTest.java, BlockBorderTest, 93, 44, 0.4731182795698925, 4.0, 0.11827956989247312
src\test\java\org\jfree\chart\block\BlockContainerTest.java, BlockContainerTest, 85, 42, 0.49411764705882355, 4.0, 0.12352941176470589
src\test\java\org\jfree\chart\block\BorderArrangementTest.java, BorderArrangementTest, 711, 184, 0.2587904360056259, 7.0, 0.03697006228651799
src\test\java\org\jfree\chart\block\ColorBlockTest.java, ColorBlockTest, 106, 43, 0.4056603773584906, 4.0, 0.10141509433962265
