chemin, paquet, paquet_LOC, paquet_CLOL, paquet_DC, WCP, paquet_BC
src\test\java\org\jfree\chart\entity, test.java.org.jfree.chart.entity, 809, 339, 0.41903584672435107, 32.0, 0.013094870210135971
src\test\java\org\jfree\chart\imagemap, test.java.org.jfree.chart.imagemap, 348, 205, 0.5890804597701149, 14.0, 0.04207717569786535
src\test\java\org\jfree\chart\internal, test.java.org.jfree.chart.internal, 539, 234, 0.43413729128014844, 25.0, 0.017365491651205937
src\test\java\org\jfree\chart\labels, test.java.org.jfree.chart.labels, 2503, 1028, 0.41070715141829806, 122.0, 0.003366452060805722
src\test\java\org\jfree\chart\legend, test.java.org.jfree.chart.legend, 485, 165, 0.3402061855670103, 16.0, 0.021262886597938145
src\test\java\org\jfree\chart\plot\compass, test.java.org.jfree.chart.plot.compass, 885, 463, 0.5231638418079096, 42.0, 0.012456281947807372
src\test\java\org\jfree\chart\plot\dial, test.java.org.jfree.chart.plot.dial, 1739, 676, 0.3887291546866015, 68.0, 0.0057166052159794345
src\test\java\org\jfree\chart\plot\flow, test.java.org.jfree.chart.plot.flow, 242, 57, 0.23553719008264462, 16.0, 0.014721074380165289
src\test\java\org\jfree\chart\plot\pie, test.java.org.jfree.chart.plot.pie, 875, 228, 0.26057142857142856, 29.0, 0.008985221674876847
src\test\java\org\jfree\chart\plot, test.java.org.jfree.chart.plot, 6376, 1773, 0.2780740276035132, 385.0, 0.0012090175113196224
src\test\java\org\jfree\chart\renderer\category, test.java.org.jfree.chart.renderer.category, 3770, 1504, 0.3989389920424403, 189.0, 0.0021107883176848695
src\test\java\org\jfree\chart\renderer\xy, test.java.org.jfree.chart.renderer.xy, 4844, 1692, 0.34929810074318746, 221.0, 0.0015805343925031107
src\test\java\org\jfree\chart\renderer, test.java.org.jfree.chart.renderer, 1656, 539, 0.3254830917874396, 466.0, 0.00581219806763285
src\test\java\org\jfree\chart\swing, test.java.org.jfree.chart.swing, 417, 151, 0.36211031175059955, 24.0, 0.01508792965627498
src\test\java\org\jfree\chart\text\format, test.java.org.jfree.chart.text.format, 347, 137, 0.39481268011527376, 16.0, 0.02467579250720461
src\test\java\org\jfree\chart\title, test.java.org.jfree.chart.title, 675, 341, 0.5051851851851852, 26.0, 0.01943019943019943
src\test\java\org\jfree\chart\urls, test.java.org.jfree.chart.urls, 785, 336, 0.4280254777070064, 35.0, 0.012229299363057325
src\test\java\org\jfree\chart, test.java.org.jfree.chart, 3822, 1522, 0.39822082679225534, 1648.0, 0.002619873860475364
src\test\java\org\jfree\data\category, test.java.org.jfree.data.category, 1189, 345, 0.29015979814970566, 53.0, 0.005474713172635956
src\test\java\org\jfree\data\flow, test.java.org.jfree.data.flow, 282, 140, 0.49645390070921985, 15.0, 0.03309692671394799
src\test\java\org\jfree\data\function, test.java.org.jfree.data.function, 388, 192, 0.4948453608247423, 22.0, 0.022492970946579195
src\test\java\org\jfree\data\gantt, test.java.org.jfree.data.gantt, 1073, 327, 0.3047530288909599, 49.0, 0.006219449569203263
src\test\java\org\jfree\data\general, test.java.org.jfree.data.general, 2535, 849, 0.3349112426035503, 157.0, 0.0021331926280480913
src\test\java\org\jfree\data\statistics, test.java.org.jfree.data.statistics, 2310, 775, 0.3354978354978355, 106.0, 0.003165073919790901
src\test\java\org\jfree\data\time\ohlc, test.java.org.jfree.data.time.ohlc, 665, 254, 0.3819548872180451, 34.0, 0.011233967271118974
src\test\java\org\jfree\data\time, test.java.org.jfree.data.time, 7129, 2200, 0.3085986814419975, 444.0, 7.526797108341402E-4
src\test\java\org\jfree\data\xy, test.java.org.jfree.data.xy, 5944, 2170, 0.36507402422611035, 292.0, 0.0012502535076236655
src\test\java\org\jfree\data, test.java.org.jfree.data, 2847, 957, 0.3361433087460485, 1260.0, 0.002755273022508594
